,country,stability,rights,health,safety,climate,costs,popularity,area,population,pop_per_km_sq,male_life_expectancy,female_life_expectancy,birth_rate,death_rate
262,Albania,,,,,,,,,,,77.2,80.3,11.5,8.3
263,Cuba,,,,,,,,,,,76.9,80.9,9.8,9.3
264,Bahrain,,,,,,,,,,,76.6,78.6,13.3,2.4
265,Oman,,,,,,,,,,,76.4,80.5,17.8,2.4
266,Algeria,,,,,,,,,,,75.9,78.3,22.8,4.7
267,Iran,,,,,,,,,,,75.8,78.1,17.9,4.8
268,Morocco,,,,,,,,,,,75.6,78.1,18.1,5.1
269,Czechia,,,,,,,,,,,75.3,81.3,10.3,12.1
270,Turkey,,,,,,,,,,,75.0,80.8,15.5,5.5
271,China,,,,,,,,,,,75.0,79.4,8.5,7.1
272,Brunei,,,,,,,,,,,74.9,77.3,14.1,4.7
273,Kuwait,,,,,,,,,,,74.9,76.7,12.6,2.9
274,Colombia,,,,,,,,,,,74.7,80.2,14.4,5.7
275,Croatia,,,,,,,,,,,74.7,80.9,8.9,14.1
276,Ecuador,,,,,,,,,,,74.5,80.0,19.2,5.1
277,United States,,,,,,,,,,,74.5,80.2,10.9,10.3
278,Malaysia,,,,,,,,,,,74.4,78.5,16.4,5.3
279,Peru,,,,,,,,,,,74.3,79.7,17.5,5.7
280,Estonia,,,,,,,,,,,74.2,82.7,9.9,11.9
281,Saudi Arabia,,,,,,,,,,,74.1,76.9,16.8,3.5
282,Sri Lanka,,,,,,,,,,,73.8,80.4,15.3,6.9
283,Thailand,,,,,,,,,,,73.7,81.1,10.0,7.9
284,Argentina,,,,,,,,,,,73.4,80.1,16.6,7.6
285,Montenegro,,,,,,,,,,,73.2,78.8,11.4,11.7
286,Jordan,,,,,,,,,,,73.0,76.4,21.1,3.9
287,Jamaica,,,,,,,,,,,73.0,76.2,15.7,7.6
288,Poland,,,,,,,,,,,72.6,80.8,9.4,12.6
289,Brazil,,,,,,,,,,,72.5,79.7,13.5,6.6
290,Mexico,,,,,,,,,,,72.3,77.9,17.0,6.2
291,Hungary,,,,,,,,,,,72.3,79.1,9.6,14.5
292,Armenia,,,,,,,,,,,71.5,78.7,13.3,9.8
293,Vietnam,,,,,,,,,,,71.4,79.6,16.1,6.4
294,Serbia,,,,,,,,,,,71.4,77.2,8.9,16.9
295,Bangladesh,,,,,,,,,,,71.1,74.9,17.5,5.5
296,Latvia,,,,,,,,,,,70.9,80.1,9.2,15.2
297,Mauritius,,,,,,,,,,,70.9,77.7,10.6,8.7
298,Azerbaijan,,,,,,,,,,,70.6,75.6,12.5,7.5
299,Romania,,,,,,,,,,,70.5,78.4,9.2,15.4
300,Lithuania,,,,,,,,,,,70.1,80.0,9.0,15.6
301,Bulgaria,,,,,,,,,,,69.9,77.5,8.5,18.0
302,Egypt,,,,,,,,,,,69.9,74.5,25.1,5.7
303,Indonesia,,,,,,,,,,,69.8,74.2,17.4,6.6
304,Nepal,,,,,,,,,,,69.5,72.5,19.3,6.3
305,Georgia,,,,,,,,,,,69.5,78.3,12.9,12.7
306,Bolivia,,,,,,,,,,,68.9,74.8,21.2,6.8
307,North Korea,,,,,,,,,,,68.8,75.9,13.8,9.3
308,Iraq,,,,,,,,,,,68.7,72.8,28.1,4.7
309,El Salvador,,,,,,,,,,,68.7,78.0,17.8,7.1
310,India,,,,,,,,,,,68.7,71.2,17.4,7.3
311,Venezuela,,,,,,,,,,,68.3,76.0,17.3,7.2
312,Cambodia,,,,,,,,,,,67.7,72.2,21.6,6.0
313,Timor-Leste,,,,,,,,,,,67.7,71.9,29.0,5.9
314,Philippines,,,,,,,,,,,67.4,75.6,19.9,6.0
315,Kazakhstan,,,,,,,,,,,67.1,75.5,22.8,8.6
316,Russia,,,,,,,,,,,66.5,76.4,9.8,14.6
317,Pakistan,,,,,,,,,,,66.5,68.5,27.4,6.8
318,Laos,,,,,,,,,,,66.4,70.1,22.7,6.3
319,Ukraine,,,,,,,,,,,66.4,76.2,7.8,15.9
320,Senegal,,,,,,,,,,,66.0,70.2,33.4,5.5
321,Mongolia,,,,,,,,,,,66.0,74.3,22.6,6.4
322,Fiji,,,,,,,,,,,65.8,69.5,20.6,8.3
323,Ethiopia,,,,,,,,,,,65.0,68.9,31.4,6.3
324,Kenya,,,,,,,,,,,64.6,69.4,27.9,5.3
325,Yemen,,,,,,,,,,,64.5,67.9,29.3,6.0
326,Burma,,,,,,,,,,,64.3,70.3,17.2,8.3
327,Afghanistan,,,,,,,,,,,63.7,66.7,31.2,6.2
328,Sudan,,,,,,,,,,,63.7,67.4,31.5,7.0
329,Ghana,,,,,,,,,,,63.2,65.5,28.6,7.1
330,Haiti,,,,,,,,,,,62.1,66.5,23.6,8.4
331,Zambia,,,,,,,,,,,61.1,67.2,35.4,6.2
332,South Africa,,,,,,,,,,,61.0,67.9,19.8,9.4
333,Zimbabwe,,,,,,,,,,,60.0,63.2,29.0,7.7
334,Congo (Dem. Republic),,,,,,,,,,,59.4,62.5,40.1,9.1
335,Angola,,,,,,,,,,,58.7,64.4,39.8,7.8
336,Cameroon,,,,,,,,,,,58.4,60.9,34.4,8.9
337,Equatorial Guinea,,,,,,,,,,,58.1,60.3,32.3,8.9
338,Ivory Coast,,,,,,,,,,,56.9,59.5,35.2,9.7
339,Somalia,,,,,,,,,,,56.0,59.4,41.4,10.5
340,Nigeria,,,,,,,,,,,54.1,56.0,37.0,11.4
341,Chad,,,,,,,,,,,53.1,55.9,41.2,11.7
342,Central Africa,,,,,,,,,,,51.5,55.9,34.9,11.7
